id,question,정답위치,검색됨,프롬프트도달,거절표현섞임,시스템이_쓴_근거,답변,judge,메모
q014,H100에서 냉각 팬 교체 경고는 몇 시간을 기준으로 뜨나요?,ls-h100-v1 p.361-361,O,O,O,ls-h100-v1 p.360-362; ls-h100-v1 p.359-361; ls-h100-v1 p.486-487,"제공된 근거 자료에는 H100 인버터의 **냉각 팬 교체 기준 시간 (시간 단위)**에 대한 구체적인 값이나 계산식이 명시되어 있지 않습니다. 근거 [1]과 [3], [5] 에 따르면 'Fan 수명 진단' 기능은 다음과 같이 작동합니다: - PRT-87 (Fan Time Perc): 43,200 시간을 기준으로 Fan 운전 누적 시간을 % 단위로 표시합니다. - PRT-88 (Fan Exchange): 팬 교체 기준을 % 단위로 표시하며, 설정 범위는 0.0~100.0% 입니다. 따라서 실제 교체 경보가 뜨는 시간은 ""43,200 시간 × (PRT-88 에서 설정한 %) / 100""으로 계산되지만, 근거 자료에는 이 계산식을 통해 도출할 수 있는 구체적인 시간 값이 포함되어 있지 않습니다. 근거 자료에서 확인할 수 없습니다",,
q018,S100에서 IO Board Trip은 몇 초 이상 지속되면 발생하나요?,ls-s100-v1 p.418-418,X,X,O,ls-s100-v1 p.309-310; ls-s100-v1 p.308-309,"제공된 근거 자료에는 S100 인버터의 'IO Board Trip'가 몇 초 이상 지속되어 발생하는지에 대한 구체적인 시간 조건이나 설정 값이 포함되어 있지 않습니다. 따라서 이 질문은 근거 자료에서 확인할 수 없습니다. 근거 자료에서는 [1] 표에 IO Board Trip 가 고장 코드 중 하나로 나열되어 있으나, 발생 조건이나 지속 시간과 관련된 설명은 없으며, [2] 에서는 모터 없음 트립의 감지 시간 (Pr.33) 과 같은 다른 고장의 설정 값만 언급하고 있습니다. 따라서 답변은 다음과 같습니다: 근거 자료에서 확인할 수 없습니다",,
q020,S100 Over Current1 트립은 정격 전류의 몇 퍼센트에서 발생하나요?,ls-s100-v1 p.416-416,O,O,O,ls-s100-v1 p.415-416,"제공된 근거 자료에는 S100 인버터의 **Over Current1 (과전류 1) 트립이 정격 전류 대비 몇 퍼센트에서 발생하는지**에 대한 구체적인 수치나 조건은 명시되어 있지 않습니다. 근거 [7] 에서는 ""인버터 출력 전류가 정격 전류의 200% 이상일 때 발생한다""고 언급하고 있으나, 이는 **Over Current1 과전류 트립**이 아니라 **Over Voltage (과전압) 트립**에 대한 설명입니다. Over Current1 트립에 대한 정확한 발생 조건은 근거 자료에서 확인할 수 없습니다.",,
q025,iS7에서 제동 저항을 연속으로 쓸 수 있는 최대 시간은 얼마인가요?,ls-is7-v1 p.277-277,O,X,O,ls-is7-v1 p.92-97; ls-is7-v1 p.84-85; ls-is7-v1 p.91-92,"제공된 근거 자료에는 iS7 인버터의 제동 저항 사용 시 **연속적으로 사용할 수 있는 최대 시간**에 대한 명시적인 정보가 없습니다. [2], [5], [8] 번 근거에서는 제동 저항기의 와트값, 제동 토크, 외형 치수 등 관련 사양은 제시되어 있으나, 연속 운전 시간을 언급하지는 않았습니다. 따라서 근거 자료에서 확인할 수 없습니다.",,
q001,M100 인버터의 보관 온도 범위는 어떻게 됩니까?,ls-m100-v1 p.18-18; ls-m100-v1 p.251-251,O,O,,ls-m100-v1 p.245-248; ls-m100-v1 p.12-18,"M100 인버터는 제품을 3 개월 이상 보관하는 경우 온도에 의한 전해 콘덴서의 열화를 방지하기 위해 -10~30˚C 사이의 온도에서 보관해야 합니다 [1]. 또한 제품 작동에 적합한 환경에서 보관할 수 있으며, 이 환경은 주위 온도가 -10~50℃, 상대 습도 95% 이하 (이슬 맺힘 현상이 없을 것) 입니다 [4].",,
q002,G100 설치 시 주위 온도 조건이 중부하와 경부하에서 어떻게 다른가요?,ls-g100-v1 p.21-21,O,O,,ls-g100-v1 p.17-26,G100 인버터의 주위 온도 조건은 부하에 따라 다음과 같이 다릅니다. * **중부하**일 경우: -10~50℃ [1] * **경부하**일 경우: -10~40℃ [1],,
q003,M100 파라미터를 공장 출하 상태로 되돌리려면 어느 코드를 쓰나요?,ls-m100-v1 p.64-64; ls-m100-v1 p.149-149,O,O,,ls-m100-v1 p.63-65,M100 파라미터를 공장 출하 상태로 되돌리기 위해서는 **CF.93** 코드를 사용합니다 [5].,,
q004,G100 파라미터 초기화는 트립이 난 상태에서도 되나요?,ls-g100-v1 p.194-194,X,X,,(없음),제공된 근거 자료에는 G100 인버터의 파라미터 초기화 시 트립 발생 여부에 대한 명시적인 설명이 없습니다. 따라서 이 질문에 대해 답변할 수 없습니다. 근거 자료에서 확인할 수 없습니다,,
q005,M100 정기 점검은 얼마마다 해야 하나요?,ls-m100-v1 p.245-245,O,X,,(없음),제공된 근거 자료에는 M100 인버터의 정기 점검 주기나 점검 항목에 대한 내용이 포함되어 있지 않습니다. 따라서 이 질문에 답할 수 없습니다. 근거 자료에서 확인할 수 없습니다,,
q006,M100을 오래 안 쓰고 창고에 둘 건데 몇 도에서 보관해야 하나요?,ls-m100-v1 p.245-245,O,O,,ls-m100-v1 p.245-248,제품을 3 개월 이상 보관하는 경우 온도에 의한 전해 콘덴서의 열화를 방지하기 위해 -10~30˚C 사이의 온도에서 보관하십시오 [1].,,
q007,M100 인버터의 보호 구조 등급이 뭔가요?,ls-m100-v1 p.251-251,O,O,,ls-m100-v1 p.3-4,"M100 인버터는 회로의 보호 등급 및 장비의 보호 등급 관련 정보를 확인해야 하며, 다음 연결 단자 및 부품은 전기 보호 등급 0 기기에 해당합니다. 이는 회로의 보호 등급이 기초 절연에 의존하며, 기초 절연이 올바르게 이루어지지 않은 경우 감전 사고의 위험이 있다는 것을 의미합니다 [1]. 또한 본 장비는 보호 등급 I 장치에 해당합니다 [1].",,
q008,G100에서 PTC 트립은 어떤 조건에서 발생하나요?,ls-g100-v1 p.353-353,X,X,,ls-g100-v1 p.372-373,"PTC 트립은 모터 과열로 인해 발생하는 심한 고장입니다. [8]에 따르면, PTC 트립은 '심각한 고장' 분류에 속하며, 래치 (Latch) 동작을 합니다.",,
q011,G100 정기 점검에서 평활 콘덴서 정전 용량의 판정 기준은 무엇인가요?,ls-g100-v1 p.365-365,O,X,,(없음),"제공된 근거 자료에는 G100 인버터의 정기 점검 방법이나 평활 콘덴서 (평활용 커패시터) 의 정전 용량 판정 기준에 대한 내용이 포함되어 있지 않습니다. 따라서 이 내용은 확인할 수 없습니다. ""근거 자료에서 확인할 수 없습니다""",,
q012,G100 출력 단자 상간 전압 밸런스는 얼마 이내여야 하나요?,ls-g100-v1 p.365-365,O,X,,(없음),제공된 근거 자료에는 G100 인버터의 **출력 단자 상간 전압 밸런스 (Voltage Balance)**에 대한 허용 범위나 기준값이 명시되어 있지 않습니다. 따라서 근거 자료에서 확인할 수 없습니다.,,
q013,H100 RTC용 배터리 수명은 얼마나 되나요?,ls-h100-v1 p.529-529,O,O,,ls-h100-v1 p.528-530,"H100 제품의 RTC 용 배터리 수명은 인버터 전원 ON 상태일 경우 53,300 시간, 인버터 전원 OFF 상태일 경우 25,800 시간입니다 [1].",,
