id,question,정답위치,시스템이_쓴_근거,답변,judge,메모
q001,M100 인버터의 보관 온도 범위는 어떻게 됩니까?,ls-m100-v1 p.18-18; ls-m100-v1 p.251-251,ls-m100-v1 p.12-18; ls-m100-v1 p.18-23,M100 인버터의 보관 온도 범위는 -20~65°C 입니다 [4][9].,,
q002,G100 설치 시 주위 온도 조건이 중부하와 경부하에서 어떻게 다른가요?,ls-g100-v1 p.21-21,ls-s300-v1 p.47-49,"G100 인버터의 설치 환경 확인 시, 중부하 (Heavy Duty) 와 경부하 (Normal Duty) 의 경우 주위 온도 허용 범위가 다음과 같이 다릅니다. * **중부하 (Heavy Duty)**: -10~50℃ [7] * **경부하 (Normal Duty)**: -10~40℃ [7] (참고: 제품 표면으로부터 5cm 떨어진 거리에서 온도를 측정할 때 기준입니다.)",,
q003,M100 파라미터를 공장 출하 상태로 되돌리려면 어느 코드를 쓰나요?,ls-m100-v1 p.64-64; ls-m100-v1 p.149-149,ls-m100-v1 p.63-65,"M100 인버터의 모든 파라미터를 공장 출하 상태로 되돌리기 위해서는 **CF.93** 코드를 사용합니다. 이 코드는 컨피그 모드 (CF) 그룹에 속하며, 해당 코드를 설정하면 모든 그룹의 설정을 초기화합니다 [7].",,
q004,G100 파라미터 초기화는 트립이 난 상태에서도 되나요?,ls-g100-v1 p.194-194,ls-is7-v1 p.116-117; ls-g100-v1 p.372-373,"제공된 근거에 따르면, G100 인버터의 파라미터 초기화 기능은 트립 발생 상태에서도 수행할 수 있습니다. 제 6 장 키패드 사용법에서 설명한 바와 같이, 사용자가 변경한 파라미터를 제품 출하시의 상태로 초기화하려면 모니터 모드 창이 보이도록 하고 모드 키 (MODE) 를 이용하여 컨피그 그룹 (CNF) 으로 이동한 후, 다운 키를 이용하여 40 번 코드 (Parameter Init) 로 이동합니다. 이후 프로그램 키 (PROG) 를 누르고 파라미터 초기화 항목 중 모든 그룹 (All Groups) 을 선택하여 프로그램 키 (PROG) 를 누르면 초기화가 완료됩니다 [4]. 또한, G100C 사용설명서에서 제시된 트립 목록에도 '파라미터 쓰기 트립'이 포함되어 있어 파라미터 설정 오류로 인해 트립이 발생할 수 있음을 알 수 있으나, 이는 초기화 수행을 막는 조건으로 명시되어 있지 않습니다 [8]. 따라서 트립 상태가 있더라도 위와 같은 절차에 따라 파라미터 초기화를 진행할 수 있습니다.",,
q005,M100 정기 점검은 얼마마다 해야 하나요?,ls-m100-v1 p.245-245,(없음),"제공된 근거 자료에는 'M100'라는 모델명이나 해당 모델에 대한 정기 점검 주기가 명시되어 있지 않습니다. 제시된 자료는 'H100' 제품 (예: 0.75~30kW, 37~90kW 등) 에 대한 유지/보수 항목만 포함되어 있습니다. 따라서 질문한 M100 제품의 정기 점검 주기는 근거 자료에서 확인할 수 없습니다. 근거 자료에서 확인할 수 없습니다",,
q006,M100을 오래 안 쓰고 창고에 둘 건데 몇 도에서 보관해야 하나요?,ls-m100-v1 p.245-245,ls-m100-v1 p.245-248; ls-m100-v1 p.244-245; ls-s100-v1 p.431-433; ls-s100-v1 p.429-431; ls-g100-v1 p.365-367; ls-h100-v1 p.528-530,"M100 제품을 3 개월 이상 보관하는 경우, 온도에 의한 전해 콘덴서의 열화를 방지하기 위해 **-10~30˚C** 사이의 온도에서 보관하셔야 합니다. [1][2][4][5][8][9]",,
q007,M100 인버터의 보호 구조 등급이 뭔가요?,ls-m100-v1 p.251-251,ls-m100-v1 p.3-4,M100 인버터는 보호 등급 I 장치에 해당합니다 [1].,,
q008,G100에서 PTC 트립은 어떤 조건에서 발생하나요?,ls-g100-v1 p.353-353,ls-g100-v1 p.249-251; ls-g100-v1 p.186-187,"제공된 근거 자료에는 G100 인버터의 **PTC (Positive Temperature Coefficient) 트립**이 발생하는 구체적인 조건이나 원인에 대한 설명이 포함되어 있지 않습니다. 근거 자료 [3] 및 [6] 에서는 '과열 트립' 또는 '모터 과열 트립', 'PTC 경보'와 같은 항목이 언급되어 있으나, PTC 트립 발생의 상세 조건은 명시되지 않았습니다. 따라서 근거에 있는 내용만으로는 답변할 수 없습니다. 근거 자료에서 확인할 수 없습니다",,
q011,G100 정기 점검에서 평활 콘덴서 정전 용량의 판정 기준은 무엇인가요?,ls-g100-v1 p.365-365,ls-h100-v1 p.526-528,G100 인버터의 정기 점검 시 평활 콘덴서의 정전 용량 측정 판정 기준은 정격 용량의 85% 이상이어야 합니다 [7].,,
q012,G100 출력 단자 상간 전압 밸런스는 얼마 이내여야 하나요?,ls-g100-v1 p.365-365,(없음),제공된 근거 자료에는 G100 인버터의 **출력 단자 상간 전압 밸런스 (Voltage Balance)**에 대한 허용 범위나 기준값이 명시되어 있지 않습니다. 따라서 근거 자료에서 확인할 수 없습니다.,,
q013,H100 RTC용 배터리 수명은 얼마나 되나요?,ls-h100-v1 p.529-529,ls-h100-v1 p.528-530,"H100 제품의 RTC 용 배터리 수명은 인버터 전원 ON 상태일 경우 53,300 시간, 인버터 전원 OFF 상태일 경우 25,800 시간입니다. [1]",,
